JobID|State|ExitCode|Elapsed|NodeList
8462197|FAILED|1:0|00:07:09|cn70
8462197.batch|FAILED|1:0|00:07:09|cn70
8462197.extern|COMPLETED|0:0|00:07:09|cn70
8462204|COMPLETED|0:0|00:07:02|cn70
8462204.batch|COMPLETED|0:0|00:07:02|cn70
8462204.extern|COMPLETED|0:0|00:07:02|cn70
8462208|COMPLETED|0:0|00:07:20|cn70
8462208.batch|COMPLETED|0:0|00:07:20|cn70
8462208.extern|COMPLETED|0:0|00:07:20|cn70
8462212|FAILED|127:0|00:00:00|cn70
8462212.batch|FAILED|127:0|00:00:00|cn70
8462212.extern|COMPLETED|0:0|00:00:00|cn70
8462256|FAILED|2:0|00:00:00|cn70
8462256.batch|FAILED|2:0|00:00:00|cn70
8462256.extern|COMPLETED|0:0|00:00:00|cn70
8462257|FAILED|2:0|00:01:12|cn70
8462257.batch|FAILED|2:0|00:01:12|cn70
8462257.extern|COMPLETED|0:0|00:01:12|cn70
8462258|COMPLETED|0:0|00:06:21|cn70
8462258.batch|COMPLETED|0:0|00:06:21|cn70
8462258.extern|COMPLETED|0:0|00:06:21|cn70
