Модель,Наблюдения,Hill,Moment,GPD,k,Задач в хвосте
DeepSeek,верные,0.135,-0.062,-0.063,347,47
DeepSeek,ошибочные: все,0.058,-0.317,-0.359,41,9
DeepSeek,до ошибки,0.116,-0.421,-0.326,237,36
DeepSeek,в ошибке,0.077,0.002,-0.013,20,13
DeepSeek,после ошибки,0.132,0.057,0.020,593,56
DeepSeek,ошибка и после,0.133,0.025,-0.024,691,67
Goedel,верные,0.171,0.168,0.172,1311,86
Goedel,ошибочные: все,0.183,0.214,0.263,1253,79
Goedel,до ошибки,0.190,0.113,0.090,332,52
Goedel,в ошибке,0.204,0.030,—,22,16
Goedel,после ошибки,0.186,0.224,0.253,940,72
Goedel,ошибка и после,0.186,0.220,0.251,955,74
Kimina,верные,0.149,0.135,0.146,773,64
Kimina,ошибочные: все,0.089,-0.315,-0.482,36,16
Kimina,до ошибки,0.178,0.133,0.128,600,60
Kimina,в ошибке,0.054,0.092,0.147,20,10
Kimina,после ошибки,0.066,-0.036,—,20,9
Kimina,ошибка и после,0.062,-0.064,—,20,10
