step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
0,4.94073,4.93976,0.00704961,0.00850207,4.93702,4.73032,0.0213398,0.0479204,0.0554644,638,12769,3.78924
100,1.47212,8.75943,0.654047,0.123839,5.7578,6.80669,0.068697,-0.113231,-0.18705,638,12769,38.6903
200,0.116123,17.0837,0.960836,0.242868,9.12967,12.1495,0.064366,-0.146689,-0.21702,638,12769,68.4163
300,0.0668152,17.1065,0.974151,0.238505,8.92279,11.7766,0.0627777,-0.1861,-0.216472,638,12769,64.2077
400,0.0431309,16.7688,0.983551,0.244211,8.73412,11.4042,0.0570196,-0.18418,-0.202648,638,12769,58.7122
500,0.0256142,17.0335,0.989034,0.247567,8.89434,11.5627,0.0594519,-0.238953,-0.227402,638,12769,54.9094
600,0.0132067,17.2592,0.994778,0.250811,9.09169,11.8037,0.0558789,-0.219488,-0.217329,638,12769,51.3088
700,0.00459311,17.3898,0.998695,0.254055,9.21635,11.9752,0.055935,-0.203598,-0.203608,638,12769,47.9996
800,0.00251382,18.089,0.999217,0.256069,9.60382,12.4294,0.0544404,-0.163017,-0.173719,638,12769,46.481
900,0.00235453,17.0346,0.999217,0.260432,9.05605,11.5873,0.0523313,-0.118057,-0.129852,638,12769,41.5706
1000,0.00143314,17.5694,0.999478,0.261103,9.1394,11.947,0.0531656,-0.125207,-0.128657,638,12769,40.6121
1100,0.000672977,18.7309,0.999739,0.258978,9.67646,12.7127,0.053972,-0.112043,-0.122974,638,12769,41.0729
1200,0.000498786,19.8706,0.999739,0.258083,10.2282,13.4564,0.0557259,-0.112749,-0.126138,638,12769,41.7657
1300,0.000895466,16.631,1,0.260991,8.63707,11.2149,0.0564383,-0.0937923,-0.0973662,638,12769,34.4188
1400,0.000480065,17.1411,1,0.263452,8.74244,11.4284,0.0564745,-0.134288,-0.118384,638,12769,33.9198
1500,0.000180758,18.5275,1,0.26513,9.31183,12.3253,0.0572628,-0.164068,-0.127565,638,12769,35.6197
1600,6.62769e-05,19.9757,1,0.265913,10.0023,13.2328,0.0577707,-0.181835,-0.13354,638,12769,37.7425
1700,2.43334e-05,21.4112,1,0.265242,10.6282,14.173,0.0587998,-0.195979,-0.141756,638,12769,40.0079
1800,9.0892e-06,22.8025,1,0.265242,11.2349,15.0774,0.0599538,-0.212759,-0.150077,638,12769,42.3035
1900,3.55943e-06,24.0951,1,0.266249,11.8171,15.8936,0.0598081,-0.202061,-0.149556,638,12769,44.5383
2000,1.53602e-06,25.1762,1,0.265802,12.2724,16.5547,0.0589903,-0.191992,-0.147775,638,12769,46.5376
2100,7.94095e-07,25.8886,1,0.266137,12.5503,16.9517,0.0567571,-0.168304,-0.14201,638,12769,48.2136
2200,5.08554e-07,26.1516,1,0.266808,12.6246,17.0542,0.0551637,-0.165267,-0.142406,638,12769,49.79
2300,3.94729e-07,26.2091,1,0.266361,12.5983,17.0213,0.053143,-0.158555,-0.144275,638,12769,51.2093
2400,3.55916e-07,26.1289,1,0.26569,12.5205,16.9175,0.0513735,-0.157144,-0.146589,638,12769,51.982
2500,3.47574e-07,26.0063,1,0.264683,12.4368,16.7994,0.0509776,-0.172538,-0.159404,638,12769,52.2763
2600,3.42906e-07,25.8956,1,0.264123,12.3659,16.6971,0.0508861,-0.193064,-0.172701,638,12769,52.4257
2700,3.43466e-07,25.7861,1,0.262781,12.3055,16.6096,0.0506971,-0.201159,-0.179548,638,12769,52.5362
2800,3.44369e-07,25.6824,1,0.262781,12.2779,16.5758,0.04992,-0.188788,-0.176202,638,12769,52.6816
2900,3.43528e-07,25.5805,1,0.262557,12.2327,16.5076,0.0496075,-0.192807,-0.177495,638,12769,52.8631
3000,3.43622e-07,25.4946,1,0.262334,12.1943,16.4546,0.0488839,-0.188775,-0.175174,638,12769,53.0323
3100,3.42812e-07,25.4094,1,0.26211,12.1597,16.4026,0.0489109,-0.201818,-0.179701,638,12769,53.191
3200,3.43466e-07,25.3236,1,0.260991,12.122,16.3519,0.0488392,-0.208627,-0.181786,638,12769,53.329
