step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
0,4.9223,4.91269,0.00913838,0.00894955,4.91196,4.731,0.0297738,-0.0442628,-0.0261509,638,12769,3.27118
100,1.34817,9.04887,0.690339,0.11791,5.67726,6.96148,0.0679073,0.0928479,0.143494,638,12769,39.1932
200,0.0678381,17.2556,0.975979,0.235709,8.89482,12.1153,0.067126,0.118157,0.180973,638,12769,67.4833
300,0.0335055,17.2771,0.986162,0.236716,8.80467,11.8567,0.0576118,0.045855,0.0470346,638,12769,63.816
400,0.0187761,17.0466,0.992167,0.242421,8.70562,11.5889,0.0457839,-0.168605,-0.18309,638,12769,58.6593
500,0.00554777,17.8512,0.998433,0.246336,9.08149,12.0898,0.0429498,-0.126516,-0.151016,638,12769,56.5546
600,0.00335501,18.3692,0.998695,0.248462,9.34748,12.4303,0.0439689,-0.175965,-0.163054,638,12769,54.2042
700,0.0021233,17.736,0.999478,0.253832,9.13938,12.0183,0.0445002,-0.164885,-0.168705,638,12769,49.3797
800,0.000544,19.0079,1,0.257747,9.71773,12.8684,0.0442999,-0.126656,-0.144677,638,12769,49.7388
900,0.000202305,20.2637,1,0.259313,10.2802,13.7031,0.0453507,-0.131567,-0.147119,638,12769,50.6489
1000,7.31518e-05,21.6203,1,0.259425,10.8879,14.5741,0.0453988,-0.105783,-0.125649,638,12769,52.1438
1100,2.66465e-05,22.9685,1,0.260991,11.4903,15.4366,0.045654,-0.0876752,-0.109163,638,12769,53.8535
1200,9.91982e-06,24.2888,1,0.260432,12.0792,16.2767,0.0462515,-0.0818961,-0.106247,638,12769,55.6815
1300,3.87012e-06,25.5106,1,0.261551,12.6155,17.0486,0.0474321,-0.107064,-0.126295,638,12769,57.5158
1400,1.66915e-06,26.5034,1,0.262893,13.0356,17.6569,0.0468053,-0.10257,-0.124649,638,12769,59.2722
1500,8.55132e-07,27.0984,1,0.263452,13.2676,17.9946,0.0457492,-0.109666,-0.130904,638,12769,61.4275
1600,5.4802e-07,27.2458,1,0.264012,13.2858,18.0189,0.044328,-0.133006,-0.154278,638,12769,66.7258
1700,4.28842e-07,27.1589,1,0.264571,13.2271,17.8745,0.0445544,-0.211516,-0.209687,638,12769,81.3833
1800,3.88379e-07,26.9701,1,0.263676,13.0432,17.6709,0.0451115,-0.190504,-0.206724,638,12769,112.627
1900,3.72319e-07,26.9256,1,0.262445,12.955,17.5953,0.0469902,-0.157703,-0.179289,638,12769,166.813
2000,3.78606e-07,27.2713,1,0.259201,13.0875,17.8327,0.0534912,-0.135261,-0.144779,638,12769,267.769
2100,0.017958,26.4641,0.995561,0.218145,14.0725,16.726,0.0524206,-0.145394,-0.131,638,12769,326.178
2200,0.00291194,14.8351,1,0.256516,7.66851,9.90103,0.0492672,-0.107683,-0.110344,638,12769,193.578
2300,0.0162153,10.9917,1,0.260544,6.1903,7.42072,0.0465233,-0.101878,-0.111361,638,12769,145.562
2400,0.00856754,11.815,1,0.258306,6.49622,7.93064,0.0469684,-0.121103,-0.124445,638,12769,141.078
2500,0.00327202,13.185,1,0.258642,7.04111,8.82859,0.0461589,-0.121825,-0.124365,638,12769,144.635
2600,0.00120089,14.6277,1,0.257523,7.64934,9.80175,0.0466688,-0.145672,-0.136031,638,12769,147.999
2700,0.00043335,16.1037,1,0.257747,8.29334,10.8158,0.0467205,-0.158654,-0.145473,638,12769,150.029
2800,0.000155695,17.5898,1,0.255845,8.95698,11.8443,0.0461792,-0.154751,-0.147818,638,12769,150.558
2900,5.60414e-05,19.0669,1,0.255845,9.63046,12.8729,0.0452941,-0.15145,-0.152366,638,12769,150.034
3000,2.04068e-05,20.5153,1,0.254838,10.2936,13.8807,0.0449147,-0.170748,-0.175846,638,12769,148.783
3100,7.64408e-06,21.909,1,0.25316,10.9388,14.8468,0.0444926,-0.170878,-0.194388,638,12769,147.491
3200,3.03958e-06,23.1852,1,0.25372,11.5264,15.7135,0.0455842,-0.208401,-0.237722,638,12769,147.443
3300,1.35634e-06,24.215,1,0.254167,11.9971,16.3838,0.0457292,-0.197741,-0.245575,638,12769,153.7
3400,7.22726e-07,24.8919,1,0.254055,12.2811,16.7752,0.0449225,-0.155532,-0.208831,638,12769,178.453
3500,4.65694e-07,25.309,1,0.254167,12.3944,16.9233,0.0458628,-0.180161,-0.213424,638,12769,242.847
3600,4.10416e-07,25.6872,1,0.252265,12.4509,16.9893,0.0474379,-0.174134,-0.180984,638,12769,366.866
3700,0.0191137,22.3736,0.994256,0.227654,11.2397,14.815,0.0456976,-0.132205,-0.164209,638,12769,346.466
3800,0.00497448,12.7944,1,0.250475,6.85732,8.62928,0.0449641,-0.126291,-0.163115,638,12769,209.068
3900,0.0127343,10.6599,1,0.253048,6.06659,7.22064,0.0429453,-0.115848,-0.148284,638,12769,177.237
4000,0.00549703,11.8216,1,0.252601,6.51147,7.99186,0.0443975,-0.130353,-0.148093,638,12769,186.301
4100,0.00206592,13.2265,1,0.251818,7.09237,8.96955,0.04451,-0.104876,-0.127,638,12769,194.913
4200,0.000752075,14.6777,1,0.25193,7.72634,9.99734,0.0455448,-0.110666,-0.128433,638,12769,200.22
4300,0.000270631,16.1467,1,0.252153,8.39115,11.0445,0.045758,-0.0966834,-0.117221,638,12769,202.137
4400,9.71592e-05,17.6148,1,0.253048,9.07643,12.0959,0.0457437,-0.0848505,-0.107608,638,12769,201.071
4500,3.50931e-05,19.0664,1,0.251818,9.77305,13.1286,0.0452898,-0.0541982,-0.0800447,638,12769,197.915
4600,1.28838e-05,20.474,1,0.252489,10.4631,14.1278,0.045431,-0.045514,-0.0725174,638,12769,193.655
4700,4.92025e-06,21.8042,1,0.252042,11.1268,15.067,0.045277,-0.0365978,-0.0637573,638,12769,189.88
4800,2.0405e-06,22.9729,1,0.251706,11.7227,15.8771,0.0455471,-0.045784,-0.0725366,638,12769,189.441
4900,9.70045e-07,23.8555,1,0.252489,12.1975,16.4557,0.0457381,-0.0401892,-0.0646096,638,12769,203.022
5000,5.51413e-07,24.4259,1,0.252265,12.5205,16.7485,0.0474013,-0.112606,-0.122477,638,12769,251.223
5100,4.04471e-07,24.7895,1,0.251259,12.5695,16.7912,0.0439154,-0.12033,-0.123634,638,12769,352.677
5200,0.0137069,25.1353,0.995822,0.223739,13.7671,16.4696,0.0424075,-0.179795,-0.177097,638,12769,508.322
