step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
0,4.9223,4.91269,0.00913838,0.00894955,4.91196,4.731,0.0297739,-0.0442657,-0.0261526,638,12769,3.27118
100,1.34922,9.04709,0.692167,0.116232,5.67478,6.95866,0.0641521,0.0899454,0.141664,638,12769,39.169
200,0.0637254,17.316,0.977546,0.236044,8.91903,12.1544,0.0669555,0.1182,0.186125,638,12769,67.5068
300,0.0337528,17.1675,0.986945,0.238953,8.77132,11.7941,0.0581945,0.0197995,0.00600074,638,12769,63.1333
400,0.0183301,17.4405,0.992428,0.240519,8.88165,11.8268,0.0554323,-0.0771107,-0.116076,638,12769,59.8048
500,0.00779938,17.7285,0.99765,0.241414,9.08632,12.0237,0.0525194,-0.138565,-0.167287,638,12769,56.0899
600,0.00414383,18.1062,0.998433,0.245441,9.38227,12.3059,0.0503816,-0.194856,-0.161213,638,12769,52.9087
700,0.00232591,17.9975,0.999478,0.250699,9.36924,12.2147,0.0482252,-0.170828,-0.132873,638,12769,49.396
800,0.000833079,18.2777,1,0.256628,9.51534,12.3506,0.0491204,-0.145786,-0.119763,638,12769,46.9352
900,0.0003081,19.5452,1,0.25853,10.0882,13.2126,0.0520582,-0.155862,-0.1212,638,12769,47.4752
1000,0.000111469,20.9213,1,0.258754,10.7037,14.1001,0.0515692,-0.0920171,-0.0928008,638,12769,48.832
1100,4.0441e-05,22.2967,1,0.259313,11.3158,14.981,0.0533776,-0.104393,-0.101004,638,12769,50.4914
1200,1.49103e-05,23.6499,1,0.259872,11.9522,15.7771,0.0540727,-0.101011,-0.0997363,638,12769,52.3134
1300,5.69283e-06,24.9236,1,0.261551,12.4989,16.6144,0.0557247,-0.126284,-0.112245,638,12769,54.2057
1400,2.32193e-06,26.049,1,0.261998,12.9881,17.3113,0.0552691,-0.106069,-0.100573,638,12769,56.0878
1500,1.07705e-06,26.9205,1,0.263005,13.3401,17.8266,0.0545191,-0.0976991,-0.0920306,638,12769,57.7518
1600,6.09026e-07,27.4223,1,0.263117,13.4979,18.0782,0.052941,-0.088779,-0.0854244,638,12769,59.1662
1700,4.45245e-07,27.4494,1,0.263564,13.4333,18.0167,0.0504154,-0.0676451,-0.0711882,638,12769,60.7244
1800,3.92177e-07,27.2115,1,0.264907,13.2462,17.7929,0.0495944,-0.0889522,-0.083273,638,12769,64.5482
1900,3.7789e-07,26.9525,1,0.26569,13.0474,17.5535,0.0482599,-0.0990985,-0.0904053,638,12769,71.2898
2000,3.76396e-07,26.6965,1,0.265802,12.931,17.3628,0.0453868,-0.0631245,-0.0704741,638,12769,79.8911
2100,3.74435e-07,26.467,1,0.26569,12.7884,17.1741,0.0440462,-0.0586883,-0.0731159,638,12769,91.1362
2200,3.74467e-07,26.2725,1,0.265578,12.6716,17.0198,0.0455727,-0.106918,-0.121997,638,12769,106.466
2300,3.73595e-07,26.1275,1,0.266137,12.5861,16.9079,0.0458325,-0.105235,-0.129662,638,12769,128.451
2400,3.68926e-07,26.0538,1,0.265802,12.5428,16.8542,0.0461782,-0.110822,-0.142055,638,12769,160.128
2500,3.65752e-07,26.0806,1,0.265018,12.5494,16.8783,0.0476475,-0.146984,-0.173772,638,12769,208.054
2600,3.71292e-07,26.2345,1,0.264235,12.6188,17.0023,0.0490601,-0.14999,-0.172368,638,12769,282.238
2700,4.03226e-07,26.2822,1,0.262669,12.6458,17.0493,0.0516231,-0.139903,-0.156671,638,12769,362.659
2800,4.36406e-07,26.0287,1,0.262334,12.5288,16.8855,0.0550743,-0.152123,-0.1528,638,12769,409.797
2900,4.73009e-07,25.7511,1,0.262445,12.3985,16.6968,0.0572939,-0.122723,-0.132238,638,12769,420.955
3000,4.79078e-07,25.6352,1,0.261998,12.3537,16.6203,0.0605396,-0.119606,-0.131232,638,12769,430.691
3100,4.79109e-07,25.5015,1,0.261439,12.2891,16.533,0.0613244,-0.119541,-0.132965,638,12769,433.1
3200,4.8384e-07,25.3794,1,0.261103,12.2359,16.4605,0.0623075,-0.119707,-0.133895,638,12769,432.137
3300,5.20194e-07,25.1653,1,0.260432,12.1429,16.3281,0.0623783,-0.0998084,-0.121226,638,12769,429.92
3400,4.62582e-07,25.2794,1,0.261327,12.1863,16.401,0.0600997,-0.1014,-0.126496,638,12769,420.418
3500,4.81537e-07,25.1524,1,0.259984,12.1289,16.3154,0.0608548,-0.119311,-0.141639,638,12769,426.153
3600,4.7886e-07,25.0474,1,0.260096,12.0755,16.2596,0.0599989,-0.0860041,-0.118462,638,12769,420.341
3700,4.6999e-07,25.0181,1,0.26032,12.0587,16.2472,0.0600654,-0.0908528,-0.12152,638,12769,419.859
3800,4.75032e-07,24.9406,1,0.258866,12.0311,16.2018,0.0610683,-0.0952679,-0.122443,638,12769,418.532
3900,4.7525e-07,24.9105,1,0.259425,12.0155,16.1835,0.0611006,-0.0769229,-0.106325,638,12769,418.047
4000,4.7637e-07,24.8351,1,0.258754,11.9876,16.1427,0.0622367,-0.0900219,-0.114595,638,12769,418.446
4100,4.7416e-07,24.7792,1,0.258978,11.9581,16.1187,0.0625127,-0.0806018,-0.105112,638,12769,417.194
4200,4.77646e-07,24.7155,1,0.258978,11.9215,16.0829,0.0639443,-0.0882518,-0.11083,638,12769,414.29
4300,4.68745e-07,24.6668,1,0.259649,11.908,16.0567,0.0643632,-0.0754923,-0.100323,638,12769,409.805
4400,4.70488e-07,24.6023,1,0.259425,11.8881,16.0234,0.0645903,-0.0645917,-0.0913941,638,12769,410.705
4500,4.76432e-07,24.5587,1,0.258754,11.8688,16.001,0.0653093,-0.0683623,-0.0946531,638,12769,408.757
4600,4.88104e-07,24.4609,1,0.259201,11.8285,15.9501,0.0667998,-0.0653549,-0.0908688,638,12769,407.513
4700,4.72448e-07,24.4615,1,0.258083,11.8238,15.9531,0.0683878,-0.0590712,-0.0860195,638,12769,404.512
4800,4.82938e-07,24.3755,1,0.258194,11.798,15.9115,0.0702968,-0.0607756,-0.0886374,638,12769,404.075
4900,4.72106e-07,24.3463,1,0.258194,11.7799,15.8937,0.071765,-0.065206,-0.0934435,638,12769,402.013
5000,4.89349e-07,24.2783,1,0.257747,11.7634,15.861,0.0717579,-0.0618213,-0.0909885,638,12769,405.674
5100,4.7553e-07,24.2334,1,0.257859,11.7312,15.8344,0.0734828,-0.0722642,-0.0998159,638,12769,406.967
5200,4.89287e-07,24.1376,1,0.258418,11.6883,15.7885,0.0729452,-0.0623744,-0.0912925,638,12769,408.173
5300,4.83218e-07,24.1108,1,0.258083,11.6766,15.7785,0.0745267,-0.0772339,-0.105051,638,12769,402.487
5400,4.72075e-07,24.083,1,0.257635,11.6635,15.7755,0.0741887,-0.0763012,-0.105681,638,12769,403.977
5500,4.69243e-07,24.0576,1,0.256628,11.6539,15.7678,0.0749268,-0.0800394,-0.11116,638,12769,400.226
5600,4.66472e-07,24.0235,1,0.256628,11.6414,15.7532,0.076048,-0.102805,-0.128967,638,12769,400.963
5700,4.72853e-07,23.9402,1,0.25674,11.6089,15.7209,0.0755183,-0.0973128,-0.124742,638,12769,403.144
5800,4.76962e-07,23.9067,1,0.256852,11.59,15.7077,0.0760993,-0.107706,-0.133294,638,12769,403.048
5900,4.82533e-07,23.8587,1,0.255398,11.5617,15.6906,0.076055,-0.111536,-0.134839,638,12769,413.368
6000,4.91995e-07,23.7565,1,0.255174,11.5159,15.6358,0.0754963,-0.111342,-0.133909,638,12769,413.858
6100,4.91248e-07,23.7192,1,0.255621,11.5006,15.6164,0.0748257,-0.105835,-0.129135,638,12769,414.441
6200,4.79265e-07,23.7283,1,0.254391,11.5104,15.6389,0.0749008,-0.107147,-0.128763,638,12769,421.097
6300,5.08211e-07,23.622,1,0.25495,11.4681,15.5809,0.0750865,-0.115151,-0.133871,638,12769,426.097
6400,5.01457e-07,23.6463,1,0.254503,11.4872,15.608,0.0750444,-0.134497,-0.145224,638,12769,418.055
6500,5.00492e-07,23.5474,1,0.254055,11.4124,15.5553,0.0750284,-0.132683,-0.144294,638,12769,417.257
6600,5.03138e-07,23.5049,1,0.253943,11.4053,15.5371,0.0740089,-0.127567,-0.141131,638,12769,420.431
6700,4.99683e-07,23.574,1,0.253272,11.4338,15.5849,0.0731877,-0.119885,-0.13636,638,12769,419.641
6800,4.85272e-07,23.4848,1,0.253832,11.3814,15.5426,0.0725279,-0.098105,-0.121472,638,12769,426.38
6900,4.96882e-07,23.4261,1,0.252377,11.3563,15.5221,0.0744434,-0.129124,-0.14356,638,12769,427.783
7000,0.0034955,22.6446,1,0.219152,12.0304,14.5553,0.0694277,-0.120535,-0.139899,638,12769,355.176
7100,0.00201385,12.9796,1,0.250923,6.86751,8.76727,0.0654485,-0.130178,-0.144849,638,12769,208.244
7200,0.00445483,11.5099,1,0.252153,6.29878,7.89729,0.0627126,-0.140372,-0.164198,638,12769,186.237
7300,0.00176576,12.8512,1,0.251594,6.88367,8.95465,0.0593184,-0.126005,-0.160011,638,12769,192.879
7400,0.000656675,14.2787,1,0.25137,7.529,10.1062,0.0560999,-0.118919,-0.155196,638,12769,198.147
7500,0.000239203,15.7308,1,0.251035,8.19869,11.2851,0.0536706,-0.121406,-0.155893,638,12769,200.978
7600,8.6747e-05,17.1846,1,0.251147,8.87641,12.467,0.0519847,-0.129664,-0.161269,638,12769,202.001
7700,3.15495e-05,18.621,1,0.250923,9.55119,13.6298,0.0498741,-0.131257,-0.160055,638,12769,202.421
7800,1.16643e-05,20.01,1,0.250364,10.208,14.7412,0.0457293,-0.0907001,-0.120804,638,12769,203.404
7900,4.48733e-06,21.3007,1,0.250475,10.8169,15.7473,0.0427958,-0.0868214,-0.112672,638,12769,208.102
8000,1.86334e-06,22.4235,1,0.249916,11.3388,16.5757,0.041864,-0.121553,-0.144463,638,12769,216.798
8100,8.86537e-07,23.2614,1,0.25014,11.7086,17.084,0.0408827,-0.124487,-0.155754,638,12769,225.752
8200,5.1067e-07,23.7042,1,0.250252,11.8455,17.1407,0.0420465,-0.17339,-0.196529,638,12769,249.983
8300,3.71977e-07,23.7758,1,0.251259,11.7422,16.7795,0.0417475,-0.145915,-0.164956,638,12769,305.035
8400,3.68553e-07,23.5783,1,0.248574,11.4969,16.2671,0.0424158,-0.123442,-0.142086,638,12769,396.191
8500,4.32422e-07,23.2692,1,0.249804,11.2802,15.8918,0.0452235,-0.143966,-0.155639,638,12769,469.15
8600,4.675e-07,22.9946,1,0.249245,11.1523,15.6346,0.0467175,-0.131147,-0.150854,638,12769,496.812
8700,1.8005,26.9758,0.69765,0.147556,17.2486,15.1982,0.0456055,-0.123596,-0.145401,638,12769,483.109
8800,0.00256431,12.7978,1,0.246113,6.74533,8.86641,0.0441751,-0.164014,-0.228613,638,12769,236.918
8900,0.0190064,9.36162,1,0.251035,5.44069,6.63085,0.0420987,-0.168394,-0.21412,638,12769,181.165
9000,0.0100291,10.1355,1,0.250587,5.7012,7.1518,0.041611,-0.0944679,-0.12751,638,12769,196.054
9100,0.00384359,11.3291,1,0.25137,6.14815,7.98446,0.0415667,-0.0677477,-0.0988808,638,12769,212.294
9200,0.00141844,12.5852,1,0.252265,6.64719,8.89357,0.0423632,-0.0692304,-0.0994496,638,12769,224.375
9300,0.000514996,13.875,1,0.252153,7.18089,9.84971,0.0417531,-0.0360817,-0.0645628,638,12769,232.423
9400,0.000185829,15.1785,1,0.252489,7.73685,10.8261,0.0415323,-0.0164202,-0.0396333,638,12769,236.364
9500,6.70292e-05,16.4819,1,0.253048,8.30684,11.806,0.0424596,-0.0255266,-0.0495227,638,12769,237.614
9600,2.43881e-05,17.769,1,0.252825,8.87774,12.7776,0.0434801,-0.0383675,-0.0629243,638,12769,237.542
9700,9.06735e-06,19.0035,1,0.254055,9.43165,13.7132,0.0441589,-0.0485391,-0.0729104,638,12769,238.39
